Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
forwards beckon rebound,189464,75,0.535,0.243,-17.583,122.737,0.914,0.0344,1.82e-05,0.0745,0.631
Prom Queen,136562,78,0.534,0.795,-7.487,143.312,0.00037,0.0471,0.009,0.139,0.76
Coming Home,206386,74,0.424,0.465,-6.595,112.418,0.461,0.0297,5.52e-05,0.154,0.462
Way down We Go,213706,80,0.489,0.505,-8.022,163.255,0.579,0.117,0.000333,0.104,0.337
Feel It Still,163253,78,0.801,0.795,-5.115,79.028,0.0417,0.0504,0.000113,0.0717,0.754
New Perspective,256871,72,0.693,0.524,-9.696,156.529,0.267,0.0407,1.83e-06,0.0839,0.453
Midnight City,241440,69,0.526,0.712,-6.525,105.009,0.0161,0.0356,0.0,0.179,0.32
Down by the Water,178293,74,0.611,0.331,-12.493,95.015,0.93,0.028,0.000276,0.117,0.559
Kids,302840,77,0.451,0.931,-3.871,122.961,0.00076,0.0719,0.0049,0.361,0.172
Blondie,194733,74,0.776,0.626,-12.561,122.072,0.622,0.0396,0.899,0.086,0.866
Dirty Love,164626,73,0.774,0.439,-7.612,125.088,0.595,0.0364,0.00127,0.109,0.661
Coal,201333,70,0.565,0.308,-12.843,91.996,0.907,0.0299,7.76e-05,0.0975,0.339
No. 1 Party Anthem,243131,79,0.505,0.698,-5.563,115.013,0.33,0.0297,0.0887,0.0966,0.599
Beggin',211560,82,0.714,0.8,-4.808,134.002,0.127,0.0504,0.0,0.359,0.589
Beach Baby,160093,74,0.669,0.0809,-17.282,114.355,0.983,0.0365,0.41,0.114,0.0922
Welcome to the Black Parade,311106,76,0.217,0.905,-4.103,96.95,0.000289,0.0752,0.00011,0.222,0.236
Sit Next to Me,243146,72,0.638,0.738,-4.976,97.021,0.117,0.0292,0.000384,0.689,0.657
"Me, Myself & I",251466,79,0.756,0.674,-6.518,111.995,0.0184,0.0959,0.0,0.158,0.389
Calling After Me,187692,73,0.636,0.797,-4.644,139.963,0.00598,0.0296,4.26e-06,0.114,0.965
Tear in My Heart,188493,74,0.655,0.632,-4.802,120.113,0.0189,0.0489,0.0,0.0722,0.447
A Night To Remember,233388,74,0.726,0.624,-7.799,114.99,0.498,0.0277,0.0294,0.0909,0.573
Losing My Religion,268426,82,0.666,0.855,-5.051,125.639,0.179,0.0295,1.2e-06,0.0987,0.803
R U Mine?,201726,79,0.288,0.758,-5.692,97.094,0.00616,0.0371,0.0,0.303,0.619
About You,326490,81,0.416,0.762,-7.385,95.967,0.312,0.0279,0.804,0.0559,0.461
Paint,191773,73,0.364,0.308,-13.052,73.328,0.895,0.0402,0.0023,0.123,0.387
Gilded Lily,212736,76,0.4,0.571,-6.534,61.859,0.468,0.0288,3.05e-05,0.519,0.146
Heavenly,286773,77,0.536,0.436,-9.187,105.13,0.672,0.0248,0.697,0.11,0.134
Fluorescent Adolescent,173493,69,0.646,0.813,-5.29,112.115,0.00178,0.0288,2.26e-05,0.144,0.821
Maps,219986,74,0.502,0.941,-5.194,119.783,0.000346,0.0716,0.319,0.553,0.124
Amsterdam,198640,72,0.553,0.429,-12.51,152.047,0.921,0.0283,0.135,0.115,0.532
